date,series,monthly_pct,annual_pct
2022-09-01,Automotive fuel,-1.8,10.1
2022-10-01,Automotive fuel,7.1,11.9
2022-11-01,Automotive fuel,5.6,16.6
2022-12-01,Automotive fuel,-8.1,10.8
2023-01-01,Automotive fuel,1.1,7.4
2023-02-01,Automotive fuel,4.1,5.5
2023-03-01,Automotive fuel,-2.2,-8.2
2023-04-01,Automotive fuel,2.9,9.5
2023-05-01,Automotive fuel,-6.7,-8.0
2023-06-01,Automotive fuel,3.9,-10.6
2023-07-01,Automotive fuel,-0.2,-7.7
2023-08-01,Automotive fuel,9.1,13.9
2023-09-01,Automotive fuel,3.3,19.8
2023-10-01,Automotive fuel,-3.0,8.5
2023-11-01,Automotive fuel,-0.5,2.3
2023-12-01,Automotive fuel,-5.5,5.3
2024-01-01,Automotive fuel,-0.9,3.1
2024-02-01,Automotive fuel,5.2,4.2
2024-03-01,Automotive fuel,1.5,8.2
2024-04-01,Automotive fuel,2.2,7.5
2024-05-01,Automotive fuel,-5.1,9.3
2024-06-01,Automotive fuel,1.2,6.5
2024-07-01,Automotive fuel,-2.6,4.1
2024-08-01,Automotive fuel,-3.1,-7.6
2024-09-01,Automotive fuel,-3.9,-14.1
2024-10-01,Automotive fuel,0.0,-11.5
2024-11-01,Automotive fuel,0.9,-10.3
2024-12-01,Automotive fuel,3.8,-1.4
2025-01-01,Automotive fuel,-1.4,-1.9
2025-02-01,Automotive fuel,1.2,-5.5
2025-03-01,Automotive fuel,-0.8,-7.7
2025-04-01,Automotive fuel,-2.5,-12.0
2025-05-01,Automotive fuel,-3.0,-10.0
2025-06-01,Automotive fuel,3.6,-7.9
2025-07-01,Automotive fuel,0.0,-5.5
2025-08-01,Automotive fuel,0.7,-1.7
2025-09-01,Automotive fuel,0.5,2.8
2025-10-01,Automotive fuel,-0.9,1.9
2025-11-01,Automotive fuel,2.5,3.5
2025-12-01,Automotive fuel,-0.5,-0.8
2026-01-01,Automotive fuel,-3.2,-2.7
2026-02-01,Automotive fuel,-3.4,-7.2
2026-03-01,Automotive fuel,32.8,24.2
2026-04-01,Automotive fuel,-7.0,18.6
2023-04-01,Electricity,-1.0,15.1
2023-05-01,Electricity,-0.8,14.0
2023-06-01,Electricity,-0.8,10.2
2023-07-01,Electricity,6.0,15.6
2023-08-01,Electricity,-1.3,12.6
2023-09-01,Electricity,0.2,18.0
2023-10-01,Electricity,3.4,10.1
2023-11-01,Electricity,0.4,10.7
2023-12-01,Electricity,-5.7,0.4
2024-01-01,Electricity,0.9,0.8
2024-02-01,Electricity,-0.6,0.2
2024-03-01,Electricity,4.9,5.2
2024-04-01,Electricity,-1.9,4.2
2024-05-01,Electricity,1.4,6.6
2024-06-01,Electricity,0.0,7.4
2024-07-01,Electricity,-6.4,-5.1
2024-08-01,Electricity,-14.6,-17.9
2024-09-01,Electricity,-7.3,-24.1
2024-10-01,Electricity,-12.3,-35.6
2024-11-01,Electricity,22.2,-21.5
2024-12-01,Electricity,-1.4,-17.9
2025-01-01,Electricity,8.9,-11.4
2025-02-01,Electricity,-2.5,-13.2
2025-03-01,Electricity,9.2,-9.6
2025-04-01,Electricity,1.5,-6.5
2025-05-01,Electricity,2.0,-5.9
2025-06-01,Electricity,-0.4,-6.3
2025-07-01,Electricity,13.5,13.6
2025-08-01,Electricity,-6.3,24.6
2025-09-01,Electricity,-0.4,33.9
2025-10-01,Electricity,-10.2,37.1
2025-11-01,Electricity,6.8,19.7
2025-12-01,Electricity,0.0,21.5
2026-01-01,Electricity,18.5,32.2
2026-02-01,Electricity,1.0,37.0
2026-03-01,Electricity,0.0,25.4
2026-04-01,Electricity,-0.9,22.5
